Strain_name,Other_name,Phylum,Class,Order,Family,Genus,LociCount,Lineage,Continent,Country,Region,YearCollected,HostDetailed,HostGeneral,HostType,SourcePub,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
Pram_PR_08_034_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2002,Viburnum tinus,Viburnum sp.,shrub,Feau2019,SRR8327102,,,,,,
P1376,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2002,Viburnum tinus ,Viburnum sp. ,shrub,Jung2021,,MW323769,MW323805,MW323697,MW323633,MW323733,MW323597
PR_05_014,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,United Kingdom,United Kingdom,unknown,unknown,unknown,unknown,Goss2009,,EU850880.1,EU850908.1,EU850944.1,EU851008.1,,EU850980.1
Pram_PR_06_028_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,United States,USA: CA,2006,Osmanthus heterophyllus,Osmanthus sp.,shrub,Feau2019,SRR8327109,,,,,,
Pram_PR_09_106_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,United States,USA: OR,2009,Pieris japonica,Pieris sp.,shrub,Feau2019,SRR8327103,,,,,,
Pram_PR_09_150_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,United States,USA: OR,2009,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327100,,,,,,
Pram_PR_10_145_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,United States,USA: OR,2010,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327101,,,,,,
PR_04_002,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,North America,United States,USA: OR,2003,unknown,unknown,unknown,Goss2009,,EU850875.1,EU850903.1,EU850939.1,EU851003.1,,EU850975.1
P1367,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,unknown,unknown,unknown,unknown,Viburnum bodnantense,Viburnum sp. ,shrub,Jung2021,,MW323768,MW323804,MW323696,MW323632,MW323732,MW323596
Phra1_7964,PRAM_16_0237_0021,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1xNA2,North America,Canada,Canada: BC,2016,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285106,,,,,,
Phra2_7974,PRAM_16_0284_0032,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1xNA2,North America,Canada,Canada: BC,2016,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285105,,,,,,
Pram_P2111_EU2,P2111; PR_12_035,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,Ireland,Ireland,2007,Quercus robur,Quercus sp.,broadleaf tree,Feau2019,SRR8327107,,,,,,
Pram_P2460_EU2,P2460; PR_12_036,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,Ireland,Ireland,2010,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327104,,,,,,
Pram_P2461_EU2,P2461; PR_12_037,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,Ireland,Ireland,2010,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327105,,,,,,
Pram_P2566_EU2,P2566; PR_12_039,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,Ireland,Ireland,2011,Rhododendron ponticum,Rhododendron sp.,shrub,Feau2019,SRR8327099,,,,,,
SOD58_12,SOD 58/12,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,United Kingdom,Northern Ireland,2012,Nothofagus sp.,Nothofagus sp.,broadleaf tree,delaMataSaez2015,PRJNA291990,,,,,,
P2460,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,United Kingdom,United Kingdom: Northern Ireland,2010,Larix kaempferi ,Larix sp.,conifer tree,Jung2021,,MW323771,MW323806,MW323699,MW323635,MW323735,MW323599
P2461,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,United Kingdom,United Kingdom: Northern Ireland,2010,Larix sp. ,Larix sp.,conifer tree,Jung2021,,MW323772,MW323807,MW323700,MW323636,MW323736,MW323600
P2462,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,United Kingdom,United Kingdom: Northern Ireland,2010,Larix sp. ,Larix sp.,conifer tree,Jung2021,,MW323773,MW323808,MW323701,MW323637,MW323737,MW323601
Pram_P2561_EU2,P2561; PR_12_038,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,United Kingdom,United Kingdom: Scotland,2011,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327098,,,,,,
Pram_P2586_EU2,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU2,Europe,United Kingdom,United Kingdom: Scotland,2011,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327085,,,,,,
IRE_110,"PR11X-003, SOD 136/11",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU2,Europe,United Kingdom,United Kingdom: Northern Ireland,2011,Larix sp. ,Larix sp. ,conifer tree,,,,,,,,
